,0
0,4.0
1,5.5174982
2,5.5391036
3,5.5575441
4,5.5727407
5,5.5846282
6,5.5931559
7,5.5982871
8,5.6
9,5.5982871
10,5.5931559
11,5.5846282
12,5.5727407
13,5.5575441
14,5.5391036
15,5.5174982
16,5.4928203
17,5.4651757
18,5.4346827
19,5.4014718
20,5.3656854
21,5.3274767
22,5.2870091
23,5.2444562
24,5.2
25,5.153831
26,5.1061467
27,5.0571516
28,5.0070552
29,4.9560723
30,4.904421
31,4.8523225
32,4.8
33,4.7476775
34,4.695579
35,4.6439277
36,4.5929448
37,4.5428484
38,4.4938533
39,4.446169
40,4.4
41,4.3555438
42,4.3129909
43,4.2725233
44,4.2343146
45,4.1985282
46,4.1653173
47,4.1348243
48,4.1071797
49,4.0825018
50,4.0608964
51,4.0424559
52,4.0272593
53,4.0153718
54,4.0068441
55,4.0017129
56,4.0
57,4.0017129
58,4.0068441
59,4.0153718
60,4.0272593
61,4.0424559
62,4.0608964
63,4.0825018
64,4.1071797
65,4.1348243
66,4.1653173
67,4.1985282
68,4.2343146
69,4.2725233
70,4.3129909
71,4.3555438
72,4.4
73,4.446169
74,4.4938533
75,4.5428484
76,4.5929448
77,4.6439277
78,4.695579
79,4.7476775
80,4.8
81,4.8523225
82,4.904421
83,4.9560723
84,5.0070552
85,5.0571516
86,5.1061467
87,5.153831
88,5.2
89,5.2444562
90,5.2870091
91,5.3274767
92,5.3656854
93,5.4014718
94,5.4346827
95,5.4651757
96,5.4928203
97,5.5174982
98,5.5391036
99,5.5575441
100,5.5727407
101,5.5846282
102,5.5931559
103,5.5982871
104,5.6
105,5.5982871
106,5.5931559
107,5.5846282
108,5.5727407
109,5.5575441
110,5.5391036
111,5.5174982
112,5.4928203
113,5.4651757
114,5.4346827
115,5.4014718
116,5.3656854
117,5.3274767
118,5.2870091
119,5.2444562
120,5.2
121,5.153831
122,5.1061467
123,5.0571516
124,5.0070552
125,4.9560723
126,4.904421
127,4.8523225
128,4.8
129,4.7476775
130,4.695579
131,4.6439277
132,4.5929448
133,4.5428484
134,4.4938533
135,4.446169
136,4.4
137,4.3555438
138,4.3129909
139,4.2725233
140,4.2343146
141,4.1985282
142,4.1653173
143,4.1348243
144,4.1071797
145,4.0825018
146,4.0608964
147,4.0424559
148,4.0272593
149,4.0153718
150,4.0068441
151,4.0017129
152,4.0
153,4.0017129
154,4.0068441
155,4.0153718
156,4.0272593
157,4.0424559
158,4.0608964
159,4.0825018
160,4.1071797
161,4.1348243
162,4.1653173
163,4.1985282
164,4.2343146
165,4.2725233
166,4.3129909
167,4.3555438
168,4.4
169,4.446169
170,4.4938533
171,4.5428484
172,4.5929448
173,4.6439277
174,4.695579
175,4.7476775
176,4.8
177,4.8523225
178,4.904421
179,4.9560723
180,5.0070552
181,5.0571516
182,5.1061467
183,5.153831
184,5.2
185,5.2444562
186,5.2870091
187,5.3274767
188,5.3656854
189,5.4014718
190,5.4346827
191,5.4651757
192,5.4928203
193,5.5174982
194,5.5391036
195,5.5575441
196,5.5727407
197,5.5846282
198,5.5931559
199,5.5982871
200,5.6
201,5.5982871
202,5.5931559
203,5.5846282
204,5.5727407
205,5.5575441
206,5.5391036
207,5.5174982
208,5.4928203
209,5.4651757
210,5.4346827
211,5.4014718
212,5.3656854
213,5.3274767
214,5.2870091
215,5.2444562
216,5.2
217,5.153831
218,5.1061467
219,5.0571516
220,5.0070552
221,4.9560723
222,4.904421
223,4.8523225
224,4.8
225,4.7476775
226,4.695579
227,4.6439277
228,4.5929448
229,4.5428484
230,4.4938533
231,4.446169
232,4.4
233,4.3555438
234,4.3129909
235,4.2725233
236,4.2343146
237,4.1985282
238,4.1653173
239,4.1348243
240,4.1071797
241,4.0825018
242,4.0608964
243,4.0424559
244,4.0272593
245,4.0153718
246,4.0068441
247,4.0017129
248,4.0
249,4.0017129
250,4.0068441
251,4.0153718
252,4.0272593
253,4.0424559
254,4.0608964
255,4.0825018
256,4.1071797
257,4.1348243
258,4.1653173
259,4.1985282
260,4.2343146
261,4.2725233
262,4.3129909
263,4.3555438
264,4.4
265,4.446169
266,4.4938533
267,4.5428484
268,4.5929448
269,4.6439277
270,4.695579
271,4.7476775
272,4.8
273,4.8523225
274,4.904421
275,4.9560723
276,5.0070552
277,5.0571516
278,5.1061467
279,5.153831
280,5.2
281,5.2444562
282,5.2870091
283,5.3274767
284,5.3656854
285,5.4014718
286,5.4346827
287,5.4651757
288,5.4928203
289,5.5174982
290,5.5391036
291,5.5575441
292,5.5727407
293,5.5846282
294,5.5931559
295,5.5982871
296,5.6
297,5.5982871
298,5.5931559
299,5.5846282
300,5.5727407
301,5.5575441
302,5.5391036
303,5.5174982
304,5.4928203
305,5.4651757
306,5.4346827
307,5.4014718
308,5.3656854
309,5.3274767
310,5.2870091
311,5.2444562
312,5.2
313,5.153831
314,5.1061467
315,5.0571516
316,5.0070552
317,4.9560723
318,4.904421
319,4.8523225
320,4.8
321,4.7476775
322,4.695579
323,4.6439277
324,4.5929448
325,4.5428484
326,4.4938533
327,4.446169
328,4.4
329,4.3555438
330,4.3129909
331,4.2725233
332,4.2343146
333,4.1985282
334,4.1653173
335,4.1348243
336,4.1071797
337,4.0825018
338,4.0608964
339,4.0424559
340,4.0272593
341,4.0153718
342,4.0068441
343,4.0017129
344,4.0
345,4.0017129
346,4.0068441
347,4.0153718
348,4.0272593
349,4.0424559
350,4.0608964
351,4.0825018
352,4.1071797
353,4.1348243
354,4.1653173
355,4.1985282
356,4.2343146
357,4.2725233
358,4.3129909
359,4.3555438
360,4.4
361,4.446169
362,4.4938533
363,4.5428484
364,4.5929448
365,4.6439277
366,4.695579
367,4.7476775
368,4.8
369,4.8523225
370,4.904421
371,4.9560723
372,5.0070552
373,5.0571516
374,5.1061467
375,5.153831
376,5.2
377,5.2444562
378,5.2870091
379,5.3274767
380,5.3656854
381,5.4014718
382,5.4346827
383,5.4651757
