,0
0,4.0
1,7.9174982
2,7.9391036
3,7.9575441
4,7.9727407
5,7.9846282
6,7.9931559
7,7.9982871
8,8.0
9,7.9982871
10,7.9931559
11,7.9846282
12,7.9727407
13,7.9575441
14,7.9391036
15,7.9174982
16,7.8928203
17,7.8651757
18,7.8346827
19,7.8014718
20,7.7656854
21,7.7274767
22,7.6870091
23,7.6444562
24,7.6
25,7.553831
26,7.5061467
27,7.4571516
28,7.4070552
29,7.3560723
30,7.304421
31,7.2523225
32,7.2
33,7.1476775
34,7.095579
35,7.0439277
36,6.9929448
37,6.9428484
38,6.8938533
39,6.846169
40,6.8
41,6.7555438
42,6.7129909
43,6.6725233
44,6.6343146
45,6.5985282
46,6.5653173
47,6.5348243
48,6.5071797
49,6.4825018
50,6.4608964
51,6.4424559
52,6.4272593
53,6.4153718
54,6.4068441
55,6.4017129
56,6.4
57,6.4017129
58,6.4068441
59,6.4153718
60,6.4272593
61,6.4424559
62,6.4608964
63,6.4825018
64,6.5071797
65,6.5348243
66,6.5653173
67,6.5985282
68,6.6343146
69,6.6725233
70,6.7129909
71,6.7555438
72,6.8
73,6.846169
74,6.8938533
75,6.9428484
76,6.9929448
77,7.0439277
78,7.095579
79,7.1476775
80,7.2
81,7.2523225
82,7.304421
83,7.3560723
84,7.4070552
85,7.4571516
86,7.5061467
87,7.553831
88,7.6
89,7.6444562
90,7.6870091
91,7.7274767
92,7.7656854
93,7.8014718
94,7.8346827
95,7.8651757
96,7.8928203
97,7.9174982
98,7.9391036
99,7.9575441
100,7.9727407
101,7.9846282
102,7.9931559
103,7.9982871
104,8.0
105,7.9982871
106,7.9931559
107,7.9846282
108,7.9727407
109,7.9575441
110,7.9391036
111,7.9174982
112,7.8928203
113,7.8651757
114,7.8346827
115,7.8014718
116,7.7656854
117,7.7274767
118,7.6870091
119,7.6444562
120,7.6
121,7.553831
122,7.5061467
123,7.4571516
124,7.4070552
125,7.3560723
126,7.304421
127,7.2523225
128,7.2
129,7.1476775
130,7.095579
131,7.0439277
132,6.9929448
133,6.9428484
134,6.8938533
135,6.846169
136,6.8
137,6.7555438
138,6.7129909
139,6.6725233
140,6.6343146
141,6.5985282
142,6.5653173
143,6.5348243
144,6.5071797
145,6.4825018
146,6.4608964
147,6.4424559
148,6.4272593
149,6.4153718
150,6.4068441
151,6.4017129
152,6.4
153,6.4017129
154,6.4068441
155,6.4153718
156,6.4272593
157,6.4424559
158,6.4608964
159,6.4825018
160,6.5071797
161,6.5348243
162,6.5653173
163,6.5985282
164,6.6343146
165,6.6725233
166,6.7129909
167,6.7555438
168,6.8
169,6.846169
170,6.8938533
171,6.9428484
172,6.9929448
173,7.0439277
174,7.095579
175,7.1476775
176,7.2
177,7.2523225
178,7.304421
179,7.3560723
180,7.4070552
181,7.4571516
182,7.5061467
183,7.553831
184,7.6
185,7.6444562
186,7.6870091
187,7.7274767
188,7.7656854
189,7.8014718
190,7.8346827
191,7.8651757
192,7.8928203
193,7.9174982
194,7.9391036
195,7.9575441
196,7.9727407
197,7.9846282
198,7.9931559
199,7.9982871
200,8.0
201,7.9982871
202,7.9931559
203,7.9846282
204,7.9727407
205,7.9575441
206,7.9391036
207,7.9174982
208,7.8928203
209,7.8651757
210,7.8346827
211,7.8014718
212,7.7656854
213,7.7274767
214,7.6870091
215,7.6444562
216,7.6
217,7.553831
218,7.5061467
219,7.4571516
220,7.4070552
221,7.3560723
222,7.304421
223,7.2523225
224,7.2
225,7.1476775
226,7.095579
227,7.0439277
228,6.9929448
229,6.9428484
230,6.8938533
231,6.846169
232,6.8
233,6.7555438
234,6.7129909
235,6.6725233
236,6.6343146
237,6.5985282
238,6.5653173
239,6.5348243
240,6.5071797
241,6.4825018
242,6.4608964
243,6.4424559
244,6.4272593
245,6.4153718
246,6.4068441
247,6.4017129
248,6.4
249,6.4017129
250,6.4068441
251,6.4153718
252,6.4272593
253,6.4424559
254,6.4608964
255,6.4825018
256,6.5071797
257,6.5348243
258,6.5653173
259,6.5985282
260,6.6343146
261,6.6725233
262,6.7129909
263,6.7555438
264,6.8
265,6.846169
266,6.8938533
267,6.9428484
268,6.9929448
269,7.0439277
270,7.095579
271,7.1476775
272,7.2
273,7.2523225
274,7.304421
275,7.3560723
276,7.4070552
277,7.4571516
278,7.5061467
279,7.553831
280,7.6
281,7.6444562
282,7.6870091
283,7.7274767
284,7.7656854
285,7.8014718
